V1	V2
APEX1	DDR (Pearl2015)
APEX2	DDR (Pearl2015)
MBD4	DDR (Pearl2015)
MPG	DDR (Pearl2015)
MUTYH	DDR (Pearl2015)
NEIL1	DDR (Pearl2015)
NEIL2	DDR (Pearl2015)
NEIL3	DDR (Pearl2015)
NTHL1	DDR (Pearl2015)
OGG1	DDR (Pearl2015)
SMUG1	DDR (Pearl2015)
TDG	DDR (Pearl2015)
UNG	DDR (Pearl2015)
POLD1	DDR (Pearl2015)
POLD2	DDR (Pearl2015)
POLD3	DDR (Pearl2015)
POLD4	DDR (Pearl2015)
FEN1	DDR (Pearl2015)
LIG1	DDR (Pearl2015)
PCNA	DDR (Pearl2015)
HUS1	DDR (Pearl2015)
WRN	DDR (Pearl2015)
ALKBH1	DDR (Pearl2015)
APLF	DDR (Pearl2015)
APTX	DDR (Pearl2015)
GADD45A	DDR (Pearl2015)
GADD45G	DDR (Pearl2015)
HMGB1	DDR (Pearl2015)
HMGB2	DDR (Pearl2015)
PARG	DDR (Pearl2015)
PARP1	DDR (Pearl2015)
PARP3	DDR (Pearl2015)
PARP4	DDR (Pearl2015)
PNKP	DDR (Pearl2015)
POLE	DDR (Pearl2015)
POLH	DDR (Pearl2015)
POLL	DDR (Pearl2015)
TDP1	DDR (Pearl2015)
LIG3	DDR (Pearl2015)
POLB	DDR (Pearl2015)
XRCC1	DDR (Pearl2015)
PIF1	DDR (Pearl2015)
MSH2	DDR (Pearl2015)
MSH3	DDR (Pearl2015)
MSH6	DDR (Pearl2015)
MLH1	DDR (Pearl2015)
MLH3	DDR (Pearl2015)
PMS1	DDR (Pearl2015)
PMS2	DDR (Pearl2015)
MSH4	DDR (Pearl2015)
MSH5	DDR (Pearl2015)
EXO1	DDR (Pearl2015)
RFC2	DDR (Pearl2015)
RFC4	DDR (Pearl2015)
RFC3	DDR (Pearl2015)
RFC5	DDR (Pearl2015)
RFC1	DDR (Pearl2015)
RPA1	DDR (Pearl2015)
RPA2	DDR (Pearl2015)
RPA3	DDR (Pearl2015)
RPA4	DDR (Pearl2015)
POLE2	DDR (Pearl2015)
POLE3	DDR (Pearl2015)
POLE4	DDR (Pearl2015)
POLK	DDR (Pearl2015)
CUL4A	DDR (Pearl2015)
DDB1	DDR (Pearl2015)
DDB2	DDR (Pearl2015)
RBX1	DDR (Pearl2015)
CETN2	DDR (Pearl2015)
RAD23B	DDR (Pearl2015)
XPC	DDR (Pearl2015)
POLR2A	DDR (Pearl2015)
POLR2B	DDR (Pearl2015)
POLR2C	DDR (Pearl2015)
POLR2D	DDR (Pearl2015)
POLR2E	DDR (Pearl2015)
POLR2F	DDR (Pearl2015)
POLR2G	DDR (Pearl2015)
POLR2H	DDR (Pearl2015)
POLR2I	DDR (Pearl2015)
POLR2J	DDR (Pearl2015)
POLR2K	DDR (Pearl2015)
POLR2L	DDR (Pearl2015)
CUL3	DDR (Pearl2015)
CUL5	DDR (Pearl2015)
ERCC1	DDR (Pearl2015)
ERCC4	DDR (Pearl2015)
ERCC5	DDR (Pearl2015)
TCEB1	DDR (Pearl2015)
TCEB2	DDR (Pearl2015)
TCEB3	DDR (Pearl2015)
UVSSA	DDR (Pearl2015)
XPA	DDR (Pearl2015)
CDK7	DDR (Pearl2015)
ERCC2	DDR (Pearl2015)
ERCC3	DDR (Pearl2015)
GTF2H1	DDR (Pearl2015)
GTF2H2	DDR (Pearl2015)
GTF2H3	DDR (Pearl2015)
GTF2H4	DDR (Pearl2015)
GTF2H5	DDR (Pearl2015)
MNAT1	DDR (Pearl2015)
ERCC6	DDR (Pearl2015)
ERCC8	DDR (Pearl2015)
RAD23A	DDR (Pearl2015)
XAB2	DDR (Pearl2015)
ALKBH2	DDR (Pearl2015)
ALKBH3	DDR (Pearl2015)
MGMT	DDR (Pearl2015)
BLM	DDR (Pearl2015)
RMI2	DDR (Pearl2015)
TOP3A	DDR (Pearl2015)
TOP3B	DDR (Pearl2015)
BARD1	DDR (Pearl2015)
BRCA1	DDR (Pearl2015)
BRCA2	DDR (Pearl2015)
BRIP1	DDR (Pearl2015)
PALB2	DDR (Pearl2015)
FANCA	DDR (Pearl2015)
FANCB	DDR (Pearl2015)
FANCC	DDR (Pearl2015)
FANCE	DDR (Pearl2015)
FANCF	DDR (Pearl2015)
FANCG	DDR (Pearl2015)
FANCL	DDR (Pearl2015)
FANCM	DDR (Pearl2015)
APITD1	DDR (Pearl2015)
HES1	DDR (Pearl2015)
STRA13	DDR (Pearl2015)
UBE2T	DDR (Pearl2015)
FANCD2	DDR (Pearl2015)
FANCI	DDR (Pearl2015)
BRE	DDR (Pearl2015)
DNA2	DDR (Pearl2015)
FAN1	DDR (Pearl2015)
HELQ	DDR (Pearl2015)
KAT5	DDR (Pearl2015)
RAD51	DDR (Pearl2015)
RAD51C	DDR (Pearl2015)
TELO2	DDR (Pearl2015)
USP1	DDR (Pearl2015)
WDR48	DDR (Pearl2015)
NBN	DDR (Pearl2015)
RAD50	DDR (Pearl2015)
PPP4C	DDR (Pearl2015)
PPP4R1	DDR (Pearl2015)
PPP4R2	DDR (Pearl2015)
PPP4R4	DDR (Pearl2015)
RAD52	DDR (Pearl2015)
RDM1	DDR (Pearl2015)
RAD54L	DDR (Pearl2015)
RAD51B	DDR (Pearl2015)
RAD51D	DDR (Pearl2015)
RECQL	DDR (Pearl2015)
RECQL4	DDR (Pearl2015)
RECQL5	DDR (Pearl2015)
EID3	DDR (Pearl2015)
NFATC2IP	DDR (Pearl2015)
NSMCE1	DDR (Pearl2015)
NSMCE2	DDR (Pearl2015)
NSMCE4A	DDR (Pearl2015)
PAXIP1	DDR (Pearl2015)
SMC5	DDR (Pearl2015)
SMC6	DDR (Pearl2015)
EME1	DDR (Pearl2015)
EME2	DDR (Pearl2015)
GEN1	DDR (Pearl2015)
H2AFX	DDR (Pearl2015)
HFM1	DDR (Pearl2015)
MUS81	DDR (Pearl2015)
RAD54B	DDR (Pearl2015)
SHFM1	DDR (Pearl2015)
SLX1A	DDR (Pearl2015)
SLX4	DDR (Pearl2015)
SPO11	DDR (Pearl2015)
UIMC1	DDR (Pearl2015)
ATM	DDR (Pearl2015)
MDC1	DDR (Pearl2015)
MRE11A	DDR (Pearl2015)
RNF168	DDR (Pearl2015)
RNF8	DDR (Pearl2015)
TP53BP1	DDR (Pearl2015)
DCLRE1C	DDR (Pearl2015)
LIG4	DDR (Pearl2015)
NHEJ1	DDR (Pearl2015)
PRKDC	DDR (Pearl2015)
XRCC5	DDR (Pearl2015)
XRCC6	DDR (Pearl2015)
XRCC4	DDR (Pearl2015)
POLM	DDR (Pearl2015)
DNTT	DDR (Pearl2015)
XRCC2	DDR (Pearl2015)
XRCC3	DDR (Pearl2015)
FAM175A	DDR (Pearl2015)
ANKRD28	DDR (Pearl2015)
ANKRD44	DDR (Pearl2015)
ANKRD52	DDR (Pearl2015)
EYA1	DDR (Pearl2015)
EYA3	DDR (Pearl2015)
NPM1	DDR (Pearl2015)
PPP6C	DDR (Pearl2015)
PPP6R1	DDR (Pearl2015)
PPP6R2	DDR (Pearl2015)
PPP6R3	DDR (Pearl2015)
SMARCAD1	DDR (Pearl2015)
MMS22L	DDR (Pearl2015)
TONSL	DDR (Pearl2015)
TIMELESS	DDR (Pearl2015)
TIPIN	DDR (Pearl2015)
CCNH	DDR (Pearl2015)
CCNA1	DDR (Pearl2015)
CCNB1	DDR (Pearl2015)
CDK2	DDR (Pearl2015)
CDK4	DDR (Pearl2015)
CDKN2D	DDR (Pearl2015)
CHEK1	DDR (Pearl2015)
CHEK2	DDR (Pearl2015)
WEE1	DDR (Pearl2015)
CCND1	DDR (Pearl2015)
CCND2	DDR (Pearl2015)
CCND3	DDR (Pearl2015)
ATR	DDR (Pearl2015)
ATRIP	DDR (Pearl2015)
RBBP8	DDR (Pearl2015)
CDC25B	DDR (Pearl2015)
ABL1	DDR (Pearl2015)
CDC25A	DDR (Pearl2015)
CLSPN	DDR (Pearl2015)
KAT2A	DDR (Pearl2015)
TOPBP1	DDR (Pearl2015)
TP73	DDR (Pearl2015)
RAD17	DDR (Pearl2015)
RAD1	DDR (Pearl2015)
HUS1B	DDR (Pearl2015)
RAD9A	DDR (Pearl2015)
RAD9B	DDR (Pearl2015)
POLA1	DDR (Pearl2015)
CCNA2	DDR (Pearl2015)
CCNB2	DDR (Pearl2015)
CCNB3	DDR (Pearl2015)
CCNC	DDR (Pearl2015)
AMN1	DDR (Pearl2015)
BRCC3	DDR (Pearl2015)
CDKN1A	DDR (Pearl2015)
PER1	DDR (Pearl2015)
PER2	DDR (Pearl2015)
PER3	DDR (Pearl2015)
BAZ1A	DDR (Pearl2015)
SMARCA5	DDR (Pearl2015)
ARID1A	DDR (Pearl2015)
ARID1B	DDR (Pearl2015)
PBRM1	DDR (Pearl2015)
SMARCA2	DDR (Pearl2015)
SMARCA4	DDR (Pearl2015)
SMARCB1	DDR (Pearl2015)
SMARCC1	DDR (Pearl2015)
SMARCC2	DDR (Pearl2015)
SMARCD1	DDR (Pearl2015)
SMARCE1	DDR (Pearl2015)
CHRAC1	DDR (Pearl2015)
ACTL6A	DDR (Pearl2015)
ACTR5	DDR (Pearl2015)
ACTR8	DDR (Pearl2015)
INO80	DDR (Pearl2015)
INO80B	DDR (Pearl2015)
INO80C	DDR (Pearl2015)
INO80D	DDR (Pearl2015)
INO80E	DDR (Pearl2015)
MCRS1	DDR (Pearl2015)
NFRKB	DDR (Pearl2015)
RUVBL1	DDR (Pearl2015)
RUVBL2	DDR (Pearl2015)
TFPT	DDR (Pearl2015)
ARID2	DDR (Pearl2015)
BRD7	DDR (Pearl2015)
PDS5A	DDR (Pearl2015)
PDS5B	DDR (Pearl2015)
RAD21	DDR (Pearl2015)
SMC1A	DDR (Pearl2015)
SMC1B	DDR (Pearl2015)
SMC3	DDR (Pearl2015)
STAG1	DDR (Pearl2015)
STAG2	DDR (Pearl2015)
NCAPD2	DDR (Pearl2015)
NCAPD3	DDR (Pearl2015)
NCAPG	DDR (Pearl2015)
NCAPG2	DDR (Pearl2015)
NCAPH	DDR (Pearl2015)
NCAPH2	DDR (Pearl2015)
SMC2	DDR (Pearl2015)
SMC4	DDR (Pearl2015)
TOP1	DDR (Pearl2015)
TOP2A	DDR (Pearl2015)
TOP2B	DDR (Pearl2015)
DUT	DDR (Pearl2015)
NUDT1	DDR (Pearl2015)
RRM1	DDR (Pearl2015)
RRM2	DDR (Pearl2015)
RRM2B	DDR (Pearl2015)
TYMS	DDR (Pearl2015)
CCNE1	DDR (Pearl2015)
MDM2	DDR (Pearl2015)
TP53	DDR (Pearl2015)
CDKN2A	DDR (Pearl2015)
ATRX	DDR (Pearl2015)
DAXX	DDR (Pearl2015)
CTC1	DDR (Pearl2015)
OBFC1	DDR (Pearl2015)
TEN1	DDR (Pearl2015)
ACD	DDR (Pearl2015)
POT1	DDR (Pearl2015)
TERF1	DDR (Pearl2015)
TERF2	DDR (Pearl2015)
TERF2IP	DDR (Pearl2015)
TERT	DDR (Pearl2015)
TINF2	DDR (Pearl2015)
DKC1	DDR (Pearl2015)
GAR1	DDR (Pearl2015)
NHP2	DDR (Pearl2015)
NOP10	DDR (Pearl2015)
SMG6	DDR (Pearl2015)
TEP1	DDR (Pearl2015)
WRAP53	DDR (Pearl2015)
MVP	DDR (Pearl2015)
DCLRE1B	DDR (Pearl2015)
TNKS	DDR (Pearl2015)
POLQ	DDR (Pearl2015)
HLTF	DDR (Pearl2015)
RAD18	DDR (Pearl2015)
UBE2A	DDR (Pearl2015)
UBE2B	DDR (Pearl2015)
UBE2N	DDR (Pearl2015)
UBE2V2	DDR (Pearl2015)
MAD2L2	DDR (Pearl2015)
POLI	DDR (Pearl2015)
REV1	DDR (Pearl2015)
REV3L	DDR (Pearl2015)
POLN	DDR (Pearl2015)
SHPRH	DDR (Pearl2015)
TDP2	DDR (Pearl2015)
COPS7A	DDR (Pearl2015)
COPS2	DDR (Pearl2015)
COPS3	DDR (Pearl2015)
COPS4	DDR (Pearl2015)
COPS5	DDR (Pearl2015)
COPS6	DDR (Pearl2015)
COPS7B	DDR (Pearl2015)
COPS8	DDR (Pearl2015)
GPS1	DDR (Pearl2015)
RNF4	DDR (Pearl2015)
MDM4	DDR (Pearl2015)
UBA1	DDR (Pearl2015)
UBA2	DDR (Pearl2015)
UBE2I	DDR (Pearl2015)
SUMO1	DDR (Pearl2015)
SUMO2	DDR (Pearl2015)
SUMO3	DDR (Pearl2015)
SUMO4	DDR (Pearl2015)
UBB	DDR (Pearl2015)
UBC	DDR (Pearl2015)
UBD	DDR (Pearl2015)
CRY1	DDR (Pearl2015)
CRY2	DDR (Pearl2015)
CCNO	DDR (Pearl2015)
MYBBP1A	DDR (Pearl2015)
PAPD7	DDR (Pearl2015)
DCLRE1A	DDR (Pearl2015)
TREX1	DDR (Pearl2015)
TREX2	DDR (Pearl2015)
BCAS2	DDR (Pearl2015)
CDC5L	DDR (Pearl2015)
PLRG1	DDR (Pearl2015)
PRPF19	DDR (Pearl2015)
RTEL1	DDR (Pearl2015)
ASF1A	DDR (Pearl2015)
ASF1B	DDR (Pearl2015)
ATF2	DDR (Pearl2015)
ATXN3	DDR (Pearl2015)
BAZ1B	DDR (Pearl2015)
BAP1	DDR (Pearl2015)
BTG2	DDR (Pearl2015)
CHAF1A	DDR (Pearl2015)
CIB1	DDR (Pearl2015)
CLK2	DDR (Pearl2015)
CNOT7	DDR (Pearl2015)
CSNK1D	DDR (Pearl2015)
CSNK1E	DDR (Pearl2015)
DDX11	DDR (Pearl2015)
DLGAP5	DDR (Pearl2015)
DMC1	DDR (Pearl2015)
DNMT1	DDR (Pearl2015)
FBXO18	DDR (Pearl2015)
HINFP	DDR (Pearl2015)
IGHMBP2	DDR (Pearl2015)
IP6K3	DDR (Pearl2015)
MEN1	DDR (Pearl2015)
MMS19	DDR (Pearl2015)
MPLKIP	DDR (Pearl2015)
MTOR	DDR (Pearl2015)
NABP1	DDR (Pearl2015)
NABP2	DDR (Pearl2015)
PARPBP	DDR (Pearl2015)
PIAS1	DDR (Pearl2015)
PIAS2	DDR (Pearl2015)
PIAS3	DDR (Pearl2015)
PIAS4	DDR (Pearl2015)
PINX1	DDR (Pearl2015)
POLG	DDR (Pearl2015)
POLG2	DDR (Pearl2015)
PRKCG	DDR (Pearl2015)
PRMT6	DDR (Pearl2015)
RASSF7	DDR (Pearl2015)
RIF1	DDR (Pearl2015)
RPAIN	DDR (Pearl2015)
RPS27L	DDR (Pearl2015)
SETMAR	DDR (Pearl2015)
SETX	DDR (Pearl2015)
SFR1	DDR (Pearl2015)
SIRT1	DDR (Pearl2015)
SLX1B	DDR (Pearl2015)
SMARCAL1	DDR (Pearl2015)
SMEK2	DDR (Pearl2015)
SOD1	DDR (Pearl2015)
SWI5	DDR (Pearl2015)
TADA3	DDR (Pearl2015)
TCEA1	DDR (Pearl2015)
TNP1	DDR (Pearl2015)
TRIM28	DDR (Pearl2015)
TRIP13	DDR (Pearl2015)
TTI1	DDR (Pearl2015)
TTI2	DDR (Pearl2015)
UBE2V1	DDR (Pearl2015)
UPF1	DDR (Pearl2015)
UVRAG	DDR (Pearl2015)
VCP	DDR (Pearl2015)
XRCC6BP1	DDR (Pearl2015)
YBX1	DDR (Pearl2015)
ZSWIM7	DDR (Pearl2015)
